image,y,g_alignment,g_colorfulness,g_composition,g_contrast,g_harmony,g_local,g_simplicity,g_whitespace,r_colorfulness_variety,r_dominant_colors,r_edge_density,r_jpeg_bpp,r_whitespace,score,weighted_sum,x_anisotropy,x_contour_congestion,x_edge_orientation_entropy,x_feature_congestion,x_sequence
../calista/comparison-based-dataset/images/21.png,1.2527149690099,0.527,0.865,0.48,1.0,1.0,0.845,0.36,0.64,7.8806,7.0,0.1608,0.1088,0.424,67.0,0.6358,1.5844,0.6949,0.7337,0.0065,0.5
../calista/comparison-based-dataset/images/22.png,8.23862164412275,0.337,0.996,0.62,1.0,0.986,0.883,0.515,1.0,22.1108,5.0,0.1301,0.1049,0.7219,79.0,0.711,1.0063,0.656,0.8689,0.0122,0.9
../calista/comparison-based-dataset/images/23.png,1.26048066804997,0.242,0.995,0.13,1.0,0.821,0.737,0.004,1.0,21.7494,12.0,0.264,0.1585,0.5917,34.0,0.4616,1.4926,0.7635,0.7622,0.0203,0.9
../calista/comparison-based-dataset/images/24.png,6.51882357332939,0.273,0.968,0.46,1.0,0.866,0.767,0.144,0.841,33.1746,13.0,0.1929,0.1323,0.4944,54.0,0.5675,1.098,0.6586,0.8635,0.0196,0.1
../calista/comparison-based-dataset/images/25.png,8.53527354511393,0.133,0.384,0.74,0.828,0.94,0.531,0.0,0.0,68.9978,27.0,0.3377,0.1643,0.1969,33.0,0.4601,0.9151,0.7225,0.8931,0.0385,0.9
../calista/comparison-based-dataset/images/26.png,7.04830676756085,0.337,0.93,0.6,1.0,0.883,0.414,0.845,1.0,37.1474,4.0,0.0608,0.0599,0.8097,78.0,0.7091,0.8264,0.5841,0.8905,0.0147,0.9
../calista/comparison-based-dataset/images/27.png,4.22722159448699,0.32,0.956,0.91,1.0,1.0,0.581,0.646,0.709,15.4052,4.0,0.1216,0.0792,0.4481,84.0,0.7594,1.0992,0.5553,0.8525,0.0072,1.0
../calista/comparison-based-dataset/images/28.png,5.39362451626946,0.255,0.9,0.83,1.0,0.797,0.794,0.157,1.0,39.6264,10.0,0.1907,0.1298,0.6438,74.0,0.6765,1.5832,0.652,0.7487,0.0268,0.8
../calista/comparison-based-dataset/images/29.png,7.48117200077971,0.476,0.937,0.89,1.0,0.794,0.937,0.607,0.657,13.4745,7.0,0.1003,0.0731,0.4301,85.0,0.7679,1.7572,0.5998,0.7137,0.0096,0.1
../calista/comparison-based-dataset/images/3.png,8.89070245109502,0.132,0.989,0.09,1.0,0.869,0.768,0.0,0.539,29.6861,20.0,0.361,0.193,0.3886,23.0,0.3925,0.6648,0.7512,0.9301,0.0277,0.7
../calista/comparison-based-dataset/images/30.png,7.63239060785738,0.254,0.967,0.76,0.0,0.85,0.775,0.729,0.481,16.7281,6.0,0.0716,0.0664,0.3685,59.0,0.5932,0.5133,0.4663,0.9522,0.0141,0.2
../calista/comparison-based-dataset/images/31.png,6.82763574656471,0.161,0.964,0.9,1.0,0.651,0.451,0.053,0.731,33.6769,11.0,0.2795,0.1419,0.4559,62.0,0.6083,1.0673,0.7154,0.8513,0.03,0.3
../calista/comparison-based-dataset/images/32.png,5.84366472139985,0.28,0.174,0.56,1.0,0.86,0.688,0.217,0.583,84.4791,7.0,0.1905,0.1339,0.4039,46.0,0.528,1.4817,0.6078,0.7895,0.0444,0.6
../calista/comparison-based-dataset/images/33.png,5.45314882205462,0.196,0.976,0.23,1.0,0.928,0.568,0.143,0.664,31.9526,8.0,0.2146,0.1276,0.4323,35.0,0.4677,1.2157,0.6688,0.8383,0.0223,0.8
../calista/comparison-based-dataset/images/34.png,5.44104833640212,0.293,0.583,0.93,1.0,0.969,0.965,0.31,0.732,58.075,5.0,0.1794,0.1354,0.4562,79.0,0.7136,1.1018,0.6414,0.8572,0.0235,0.1
../calista/comparison-based-dataset/images/35.png,6.58778397376167,0.215,0.867,0.22,1.0,0.863,0.569,0.345,1.0,42.0173,8.0,0.1521,0.1086,0.7772,44.0,0.5168,0.7803,0.645,0.9147,0.0306,0.1
../calista/comparison-based-dataset/images/36.png,7.62159551608942,0.247,0.972,0.3,1.0,0.737,0.832,0.156,0.411,32.5655,9.0,0.1886,0.1318,0.3438,35.0,0.4684,1.1872,0.6988,0.8273,0.0296,0.3
../calista/comparison-based-dataset/images/37.png,5.32538593840177,0.16,0.991,0.78,0.592,0.849,0.722,0.036,0.952,20.7945,16.0,0.2619,0.1476,0.5332,59.0,0.5912,0.4974,0.6906,0.9584,0.0201,0.9
../calista/comparison-based-dataset/images/38.png,7.93784252190794,0.138,0.943,0.82,1.0,0.787,0.541,0.006,0.652,35.901,15.0,0.2923,0.1579,0.4282,57.0,0.5855,0.5889,0.7401,0.9489,0.0329,0.2
../calista/comparison-based-dataset/images/39.png,6.19064031663029,0.149,0.992,0.37,0.739,0.816,0.725,0.0,0.0,20.9988,16.0,0.3853,0.1766,0.1379,22.0,0.3859,0.5733,0.7397,0.9471,0.0214,0.8
../calista/comparison-based-dataset/images/4.png,4.9727441857403,0.168,0.699,0.89,1.0,0.898,0.808,0.0,0.596,51.933,19.0,0.2865,0.1648,0.4085,63.0,0.6159,0.863,0.7393,0.9059,0.0266,0.5
../calista/comparison-based-dataset/images/40.png,8.23234860330998,0.211,0.665,0.77,1.0,0.902,0.79,0.11,0.849,53.7334,7.0,0.2607,0.1467,0.4972,65.0,0.6271,0.8549,0.7813,0.896,0.0323,0.5
../calista/comparison-based-dataset/images/41.png,5.38643492322379,0.159,0.849,0.91,1.0,0.851,0.586,0.0,0.242,43.2084,10.0,0.3086,0.1812,0.2848,56.0,0.5756,0.9416,0.7282,0.8777,0.0304,0.9
../calista/comparison-based-dataset/images/42.png,7.24792058228516,0.519,0.895,0.73,1.0,0.968,0.933,0.701,0.111,39.967,6.0,0.0802,0.0691,0.2389,78.0,0.7033,0.7553,0.6088,0.9011,0.0143,1.0
../calista/comparison-based-dataset/images/43.png,8.30539530867126,0.135,0.992,0.83,1.0,0.878,0.713,0.0,0.334,29.0225,19.0,0.3659,0.1816,0.3169,56.0,0.5774,0.939,0.7921,0.876,0.0334,0.8
../calista/comparison-based-dataset/images/44.png,5.89717431378594,0.305,0.712,0.76,1.0,0.969,0.806,0.452,1.0,51.2254,4.0,0.169,0.1073,0.6423,79.0,0.713,1.8919,0.4758,0.6727,0.0102,0.7
../calista/comparison-based-dataset/images/45.png,4.12891736185028,0.459,0.558,0.39,1.0,0.932,0.775,0.831,1.0,59.3854,4.0,0.068,0.0591,0.6975,73.0,0.6722,2.2336,0.4602,0.5963,0.0085,0.8
../calista/comparison-based-dataset/images/46.png,6.49914427820194,0.166,0.728,0.62,1.0,0.826,0.405,0.0,0.0,50.3753,14.0,0.3032,0.1697,0.1374,32.0,0.4508,0.7504,0.69,0.918,0.0232,0.7
../calista/comparison-based-dataset/images/47.png,7.78980916442556,0.162,0.587,0.71,1.0,0.864,0.495,0.021,1.0,57.8699,10.0,0.2141,0.1574,0.6489,56.0,0.5791,0.648,0.6699,0.9373,0.0379,0.1
../calista/comparison-based-dataset/images/48.png,6.10530932566964,0.121,0.936,0.05,1.0,0.904,0.683,0.0,1.0,36.5863,14.0,0.3101,0.1663,0.5905,27.0,0.421,0.541,0.7848,0.9537,0.0264,0.1
../calista/comparison-based-dataset/images/49.png,5.49252229941669,0.494,0.555,0.92,1.0,0.911,0.62,0.628,1.0,59.521,3.0,0.1189,0.0998,0.5734,87.0,0.7861,1.4329,0.5355,0.7864,0.0177,1.0
../calista/comparison-based-dataset/images/5.png,6.96562946010618,0.355,0.419,0.07,1.0,0.919,0.592,0.367,0.939,66.9923,10.0,0.129,0.1077,0.5286,36.0,0.4741,0.9144,0.5593,0.8831,0.0309,0.7
../calista/comparison-based-dataset/images/50.png,1.0,0.284,0.732,0.93,1.0,0.919,0.386,0.474,1.0,50.1136,4.0,0.1461,0.1185,0.7784,81.0,0.7312,1.6988,0.6607,0.7219,0.0207,0.7
../calista/comparison-based-dataset/images/51.png,7.68306626051636,0.158,0.274,0.54,1.0,0.876,0.652,0.036,1.0,76.1838,8.0,0.2551,0.1655,0.567,46.0,0.5247,0.7471,0.6643,0.9183,0.0356,0.2
../calista/comparison-based-dataset/images/52.png,3.02641295640503,0.194,0.475,0.88,1.0,0.902,0.444,0.071,0.546,63.8065,7.0,0.2694,0.1777,0.3912,58.0,0.5874,0.8826,0.7088,0.8976,0.0406,0.6
../calista/comparison-based-dataset/images/53.png,7.41917516365024,0.11,0.722,0.42,1.0,0.826,0.654,0.0,0.782,50.7088,12.0,0.348,0.1852,0.4736,37.0,0.4786,0.5133,0.7638,0.9583,0.0416,0.8
../calista/comparison-based-dataset/images/54.png,8.64938886730577,0.158,0.657,0.49,0.246,0.92,0.732,0.037,0.245,54.1425,16.0,0.2993,0.1473,0.2856,23.0,0.3919,0.3884,0.6839,0.9731,0.0218,0.4
../calista/comparison-based-dataset/images/55.png,6.14349911654844,0.126,0.962,0.58,1.0,0.889,0.814,0.069,0.64,33.9051,9.0,0.2441,0.1364,0.4239,51.0,0.5516,0.676,0.7506,0.9269,0.028,0.3
../calista/comparison-based-dataset/images/56.png,4.99732177135095,0.248,0.822,0.06,1.0,0.909,0.78,0.0,0.772,44.9278,9.0,0.2439,0.1737,0.4702,27.0,0.4207,0.7058,0.6946,0.9185,0.0274,0.0
../calista/comparison-based-dataset/images/57.png,6.69697407212242,0.18,0.93,0.84,0.587,0.861,0.564,0.0,0.014,37.0914,15.0,0.3465,0.1824,0.2048,41.0,0.4998,0.444,0.6967,0.9679,0.0334,0.5
../calista/comparison-based-dataset/images/58.png,6.61726924934964,0.237,0.917,0.34,1.0,0.877,0.688,0.202,0.879,38.2691,8.0,0.1941,0.1238,0.5077,47.0,0.5332,1.6179,0.5736,0.7369,0.0189,0.9
../calista/comparison-based-dataset/images/59.png,7.20402579037472,0.219,0.965,0.31,1.0,0.887,0.422,0.383,0.34,16.4927,7.0,0.1641,0.0985,0.319,37.0,0.4812,0.9309,0.642,0.8845,0.0135,0.7
../calista/comparison-based-dataset/images/6.png,4.96691651170286,0.689,0.964,0.96,1.0,1.0,0.925,1.0,0.163,16.3623,1.0,0.0346,0.0369,0.9711,92.0,0.8487,0.4553,0.5484,0.9552,0.0103,0.9
../calista/comparison-based-dataset/images/60.png,6.94404804690244,0.389,0.928,0.93,0.318,0.978,0.823,0.67,1.0,37.2613,5.0,0.0936,0.0811,0.8402,84.0,0.7512,0.7367,0.5225,0.9136,0.017,0.1
../calista/comparison-based-dataset/images/61.png,7.24784269062759,0.13,1.0,0.72,1.0,0.852,0.41,0.18,0.457,24.4033,8.0,0.1943,0.1312,0.3598,53.0,0.5632,0.7895,0.6849,0.9063,0.0258,0.7
../calista/comparison-based-dataset/images/62.png,5.40659957963507,0.144,0.176,0.07,1.0,0.917,0.594,0.12,1.0,84.2844,6.0,0.2556,0.1555,0.5614,24.0,0.3974,1.1826,0.7468,0.8349,0.0528,0.9
../calista/comparison-based-dataset/images/63.png,8.93936369951609,0.171,0.963,0.12,0.604,0.858,0.368,0.0,0.0,33.7282,13.0,0.39,0.2009,0.1914,12.0,0.287,0.6308,0.7009,0.9436,0.0226,0.3
../calista/comparison-based-dataset/images/64.png,8.62104749776325,0.162,0.924,0.41,0.848,0.857,0.763,0.0,0.306,37.6814,16.0,0.3741,0.1808,0.3069,31.0,0.443,0.6876,0.7523,0.9362,0.0285,0.9
../calista/comparison-based-dataset/images/65.png,5.40659957963507,0.312,0.726,0.85,1.0,0.935,0.921,0.235,0.818,50.4437,5.0,0.1914,0.1515,0.4862,76.0,0.695,1.1983,0.6608,0.8333,0.0265,0.1
../calista/comparison-based-dataset/images/66.png,9.68860739344947,0.194,0.999,0.37,0.446,0.854,0.607,0.0,0.175,26.1702,11.0,0.381,0.1744,0.2612,21.0,0.3784,0.464,0.7557,0.9609,0.0221,0.1
../calista/comparison-based-dataset/images/67.png,6.31037690417975,0.202,0.893,0.49,1.0,0.892,0.601,0.306,1.0,40.1041,8.0,0.17,0.1077,0.5663,59.0,0.5912,1.1323,0.5872,0.8447,0.0211,0.3
../calista/comparison-based-dataset/images/68.png,10.0,0.14,0.739,0.35,0.598,0.908,0.492,0.007,0.333,49.7751,16.0,0.3235,0.1577,0.3165,21.0,0.3792,0.7545,0.7399,0.9217,0.0327,0.3
../calista/comparison-based-dataset/images/69.png,6.88299535921926,0.137,0.858,0.49,1.0,0.841,0.589,0.0,0.971,42.6255,16.0,0.3432,0.1817,0.5398,46.0,0.5271,0.9882,0.7737,0.882,0.0382,0.5
../calista/comparison-based-dataset/images/7.png,9.05427777868013,0.27,0.997,0.77,0.14,0.841,0.785,0.09,0.227,27.5657,12.0,0.2602,0.1292,0.2794,41.0,0.499,0.7324,0.608,0.9143,0.0189,0.3
../calista/comparison-based-dataset/images/70.png,9.03964361458123,0.168,0.78,0.05,1.0,0.856,0.356,0.207,1.0,47.4369,6.0,0.2079,0.1355,0.7385,27.0,0.4237,0.4717,0.7127,0.9598,0.0371,0.3
../calista/comparison-based-dataset/images/71.png,9.18855382169205,0.236,0.992,0.24,1.0,0.896,0.678,0.091,0.657,20.9884,13.0,0.2257,0.1288,0.43,36.0,0.4732,1.156,0.6841,0.8364,0.018,0.0
../calista/comparison-based-dataset/images/72.png,7.02878648811814,0.207,0.201,0.13,1.0,0.915,0.476,0.062,1.0,81.9863,9.0,0.2163,0.1418,0.5598,25.0,0.4103,0.5405,0.7056,0.9523,0.0356,0.3
../calista/comparison-based-dataset/images/73.png,7.32368696308104,0.448,0.221,0.83,1.0,0.896,0.943,0.516,0.783,80.3136,6.0,0.1233,0.0978,0.4742,79.0,0.7141,1.8241,0.5515,0.6931,0.0202,0.3
../calista/comparison-based-dataset/images/74.png,8.83399627297172,0.075,0.818,0.54,0.765,0.789,0.472,0.0,0.028,45.1563,22.0,0.479,0.2028,0.2097,24.0,0.3987,0.3342,0.8297,0.9804,0.0503,0.1
../calista/comparison-based-dataset/images/75.png,3.48533910338241,0.479,0.892,0.77,0.978,1.0,0.755,1.0,0.032,9.7601,1.0,0.0277,0.031,0.9822,81.0,0.7321,1.9467,0.486,0.657,0.0039,0.5
../calista/comparison-based-dataset/images/76.png,2.33920378608659,0.483,0.999,0.73,1.0,0.92,0.939,0.379,1.0,23.6853,6.0,0.1673,0.1094,0.7637,83.0,0.7429,1.6178,0.7474,0.7546,0.011,0.9
../calista/comparison-based-dataset/images/77.png,1.54482157120882,0.177,1.0,0.83,1.0,0.875,0.628,0.0,0.363,25.8827,13.0,0.3544,0.2067,0.3272,57.0,0.5822,1.4546,0.7344,0.7718,0.0324,0.1
../calista/comparison-based-dataset/images/78.png,7.32474138679564,0.237,0.809,0.67,1.0,0.838,0.903,0.279,0.155,45.7284,12.0,0.1575,0.1148,0.2543,54.0,0.5665,0.9615,0.5775,0.8753,0.0292,0.0
../calista/comparison-based-dataset/images/79.png,6.97844784877819,0.284,0.226,0.35,1.0,0.913,0.597,0.234,0.421,79.9131,8.0,0.1764,0.1273,0.3472,33.0,0.4588,1.1868,0.5958,0.8164,0.0401,0.6
../calista/comparison-based-dataset/images/8.png,7.55764934768436,0.225,0.17,0.44,1.0,0.957,0.723,0.39,0.556,84.9035,5.0,0.1508,0.1312,0.3945,44.0,0.5185,1.1518,0.5975,0.8157,0.0368,0.1
../calista/comparison-based-dataset/images/80.png,7.61765420135968,0.195,0.782,0.2,0.419,0.924,0.672,0.046,0.0,47.2978,24.0,0.2793,0.1441,0.1432,14.0,0.3151,0.8355,0.6802,0.908,0.0254,0.9
../calista/comparison-based-dataset/images/81.png,4.99910745046388,0.195,0.14,0.31,1.0,0.901,0.612,0.0,0.089,88.0887,15.0,0.2585,0.1671,0.2313,19.0,0.3621,0.991,0.7042,0.8604,0.0391,0.1
../calista/comparison-based-dataset/images/82.png,5.35672937747697,0.258,0.039,0.7,1.0,0.833,0.519,0.408,0.675,106.1838,12.0,0.1195,0.101,0.4364,56.0,0.5788,0.811,0.5951,0.905,0.0369,0.5
../calista/comparison-based-dataset/images/83.png,6.84958846032933,0.201,1.0,0.06,1.0,0.894,0.609,0.479,1.0,24.3487,3.0,0.1671,0.112,0.6874,41.0,0.5018,0.6079,0.6748,0.9364,0.0136,0.7
../calista/comparison-based-dataset/images/84.png,7.02185665866559,0.219,0.969,0.78,1.0,0.915,0.802,0.0,0.205,32.9368,21.0,0.2403,0.1636,0.2719,55.0,0.5717,1.2039,0.6646,0.8269,0.0217,0.1
../calista/comparison-based-dataset/images/85.png,7.74951316454162,0.2,0.924,0.19,0.488,0.84,0.523,0.02,0.024,37.6465,21.0,0.3258,0.1533,0.2082,14.0,0.3099,0.4656,0.7527,0.9635,0.0304,0.3
../calista/comparison-based-dataset/images/86.png,6.88091516571844,0.171,0.999,0.91,1.0,0.904,0.566,0.592,1.0,26.7414,5.0,0.1147,0.0911,0.8298,83.0,0.7493,0.7661,0.6565,0.9063,0.013,0.4
../calista/comparison-based-dataset/images/87.png,8.94450264231774,0.281,0.752,0.78,0.703,0.851,0.894,0.069,0.163,49.0432,19.0,0.2686,0.1364,0.2569,49.0,0.5434,0.8429,0.6979,0.8918,0.0296,0.6
../calista/comparison-based-dataset/images/88.png,7.42692630321498,0.143,0.944,0.03,0.855,1.0,0.435,0.096,1.0,14.1939,8.0,0.2957,0.1393,0.5962,26.0,0.4131,0.3725,0.7678,0.9741,0.0134,0.3
../calista/comparison-based-dataset/images/89.png,7.97192976351681,0.248,0.52,0.58,1.0,0.791,0.573,0.068,0.298,61.4017,13.0,0.2071,0.147,0.3043,38.0,0.4861,0.7241,0.6689,0.9144,0.0444,0.3
../calista/comparison-based-dataset/images/9.png,5.41503512293755,0.102,0.923,0.8,1.0,0.798,0.574,0.036,1.0,37.7345,8.0,0.2652,0.1739,0.7251,63.0,0.615,0.7806,0.7648,0.9083,0.0466,0.1
../calista/comparison-based-dataset/images/90.png,6.79289029318145,0.109,0.172,0.76,1.0,0.824,0.557,0.0,0.0,84.6585,18.0,0.4722,0.2295,0.1527,33.0,0.4564,0.9332,0.8176,0.8944,0.0616,0.4
../calista/comparison-based-dataset/images/91.png,6.09648153182872,0.211,0.69,0.91,1.0,0.865,0.733,0.244,0.302,52.3914,8.0,0.1834,0.1182,0.3058,65.0,0.6247,1.7719,0.6295,0.7057,0.0291,0.1
../calista/comparison-based-dataset/images/92.png,6.9089986013291,0.155,0.766,0.41,1.0,0.789,0.748,0.014,0.827,48.2081,10.0,0.2743,0.1553,0.4896,40.0,0.494,0.813,0.6977,0.9038,0.04,0.1
../calista/comparison-based-dataset/images/93.png,6.83024412844532,0.379,0.599,0.71,1.0,0.925,0.741,0.566,0.388,57.1931,6.0,0.1096,0.0918,0.3357,69.0,0.6503,1.8063,0.5088,0.6717,0.0205,0.9
../calista/comparison-based-dataset/images/94.png,6.4814943145526,0.193,0.856,0.79,1.0,0.86,0.806,0.0,0.703,42.7363,15.0,0.2391,0.1636,0.4462,62.0,0.6082,1.0157,0.6807,0.8684,0.025,0.3
../calista/comparison-based-dataset/images/95.png,7.92722281428955,0.229,0.984,0.79,1.0,0.889,0.448,0.669,1.0,30.6522,4.0,0.109,0.0813,0.8775,81.0,0.7264,0.5534,0.6159,0.9401,0.019,0.3
../calista/comparison-based-dataset/images/96.png,6.97115980078059,0.227,0.946,0.86,1.0,0.873,0.798,0.716,1.0,35.5567,5.0,0.0849,0.0726,0.8862,85.0,0.7693,1.533,0.6348,0.734,0.0082,0.9
../calista/comparison-based-dataset/images/97.png,5.5040992918561,0.303,1.0,0.71,1.0,0.806,0.862,0.536,1.0,24.2177,4.0,0.1433,0.0992,0.7741,79.0,0.7147,2.0905,0.6203,0.6352,0.0174,0.9
../calista/comparison-based-dataset/images/98.png,8.57496823334833,0.231,0.44,0.38,0.607,0.92,0.724,0.073,0.402,65.7492,14.0,0.2286,0.1348,0.3406,26.0,0.4164,1.1357,0.6109,0.8471,0.029,0.9
../calista/comparison-based-dataset/images/99.png,2.70571328280747,0.378,0.482,0.44,1.0,0.983,0.652,0.084,0.957,63.431,7.0,0.2146,0.1624,0.5351,52.0,0.5575,1.3433,0.6849,0.8125,0.0172,0.9
